Date,Hour,Temp
2016-01-18,17,54.4
2016-01-18,18,52.9
2016-01-18,19,51.3
2016-01-18,20,49.8
2016-01-18,21,48.3
2016-01-18,22,46.7
2016-01-18,23,45.2
2016-01-19,00,51.7
2016-01-19,01,49.9
2016-01-19,02,48.2
2016-01-19,03,46.5
2016-01-19,04,44.7
2016-01-19,05,43.0
2016-01-19,06,45.9
2016-01-19,07,48.8
2016-01-19,08,51.7
2016-01-19,09,54.6
2016-01-19,10,57.4
2016-01-19,11,60.3
2016-01-19,12,63.2
2016-01-19,13,66.1
2016-01-19,14,69.0
2016-01-19,15,67.3
2016-01-19,16,65.5
2016-01-19,17,63.8
2016-01-19,18,62.1
2016-01-19,19,60.3
2016-01-19,20,58.6
2016-01-19,21,56.9
2016-01-19,22,55.1
2016-01-19,23,53.4
2016-01-20,00,49.0
2016-01-20,01,48.2
2016-01-20,02,47.4
2016-01-20,03,46.6
2016-01-20,04,45.8
2016-01-20,05,45.0
2016-01-20,06,46.3
2016-01-20,07,47.7
2016-01-20,08,49.0
2016-01-20,09,50.3
2016-01-20,10,51.7
2016-01-20,11,53.0
2016-01-20,12,54.3
2016-01-20,13,55.7
2016-01-20,14,57.0
2016-01-20,15,56.2
2016-01-20,16,55.4
2016-01-20,17,54.6
2016-01-20,18,53.8
2016-01-20,19,53.0
2016-01-20,20,52.2
2016-01-20,21,51.4
2016-01-20,22,50.6
2016-01-20,23,49.8
2016-01-21,00,50.0
2016-01-21,01,48.6
2016-01-21,02,47.2
2016-01-21,03,45.8
2016-01-21,04,44.4
2016-01-21,05,43.0
2016-01-21,06,45.3
2016-01-21,07,47.7
2016-01-21,08,50.0
2016-01-21,09,52.3
2016-01-21,10,54.7
2016-01-21,11,57.0
2016-01-21,12,59.3
2016-01-21,13,61.7
2016-01-21,14,64.0
2016-01-21,15,62.6
2016-01-21,16,61.2
2016-01-21,17,59.8
2016-01-21,18,58.4
2016-01-21,19,57.0
2016-01-21,20,55.6
2016-01-21,21,54.2
2016-01-21,22,52.8
2016-01-21,23,51.4
2016-01-22,00,42.7
2016-01-22,01,41.5
2016-01-22,02,40.4
2016-01-22,03,39.3
2016-01-22,04,38.1
2016-01-22,05,37.0
2016-01-22,06,38.9
2016-01-22,07,40.8
2016-01-22,08,42.7
2016-01-22,09,44.6
2016-01-22,10,46.4
2016-01-22,11,48.3
2016-01-22,12,50.2
2016-01-22,13,52.1
2016-01-22,14,54.0
2016-01-22,15,52.9
2016-01-22,16,51.7
2016-01-22,17,50.6
2016-01-22,18,49.5
2016-01-22,19,48.3
2016-01-22,20,47.2
2016-01-22,21,46.1
2016-01-22,22,44.9
2016-01-22,23,43.8
2016-01-23,00,39.7
2016-01-23,01,37.9
2016-01-23,02,36.2
2016-01-23,03,34.5
2016-01-23,04,32.7
2016-01-23,05,31.0
2016-01-23,06,33.9
2016-01-23,07,36.8
2016-01-23,08,39.7
2016-01-23,09,42.6
2016-01-23,10,45.4
2016-01-23,11,48.3
2016-01-23,12,51.2
2016-01-23,13,54.1
2016-01-23,14,57.0
2016-01-23,15,55.3
2016-01-23,16,53.5
2016-01-23,17,51.8
2016-01-23,18,50.1
2016-01-23,19,48.3
2016-01-23,20,46.6
2016-01-23,21,44.9
2016-01-23,22,43.1
2016-01-23,23,41.4
2016-01-24,00,46.7
2016-01-24,01,44.3
2016-01-24,02,42.0
2016-01-24,03,39.7
2016-01-24,04,37.3
2016-01-24,05,35.0
2016-01-24,06,38.9
2016-01-24,07,42.8
2016-01-24,08,46.7
2016-01-24,09,50.6
2016-01-24,10,54.4
2016-01-24,11,58.3
2016-01-24,12,62.2
2016-01-24,13,66.1
2016-01-24,14,70.0
2016-01-24,15,67.7
2016-01-24,16,65.3
2016-01-24,17,63.0
2016-01-24,18,60.7
2016-01-24,19,58.3
2016-01-24,20,56.0
2016-01-24,21,53.7
2016-01-24,22,51.3
2016-01-24,23,49.0
2016-01-25,00,62.3
2016-01-25,01,61.1
2016-01-25,02,59.8
2016-01-25,03,58.5
2016-01-25,04,57.3
2016-01-25,05,56.0
2016-01-25,06,58.1
2016-01-25,07,60.2
2016-01-25,08,62.3
2016-01-25,09,64.4
2016-01-25,10,66.6
2016-01-25,11,68.7
2016-01-25,12,70.8
2016-01-25,13,72.9
2016-01-25,14,75.0
2016-01-25,15,73.7
2016-01-25,16,72.5
2016-01-25,17,71.2
2016-01-25,18,69.9
2016-01-25,19,68.7
2016-01-25,20,67.4
2016-01-25,21,66.1
2016-01-25,22,64.9
2016-01-25,23,63.6
2016-01-26,00,48.0
2016-01-26,01,47.0
2016-01-26,02,46.0
